"","cap-shape","cap-surface","cap-color","bruises","odor","gill-attachment","gill-spacing","gill-size","gill-color","stalk-shape","stalk-root","stalk-surface-above-ring","stalk-surface-below-ring","stalk-color-above-ring","stalk-color-below-ring","veil-type","veil-color","ring-number","ring-type","spore-print-color","population","class"
"3530","f","y","e","t","n","f","c","b","w","t","b","s","s","w","w","p","w","o","p","k","y","e"
"3532","x","s","w","f","c","f","w","n","p","e","b","s","s","w","w","p","w","o","p","n","v","p"
"3533","f","y","g","t","n","f","c","b","n","t","b","s","s","g","g","p","w","o","p","k","y","e"
"3534","x","y","g","f","f","f","c","b","p","e","b","k","k","b","p","p","w","o","l","h","v","p"
"3536","f","y","n","t","n","f","c","b","p","t","b","s","s","g","g","p","w","o","p","k","v","e"
"3537","x","s","g","f","c","f","w","n","n","e","b","s","s","w","w","p","w","o","p","k","s","p"
"3538","f","y","g","t","n","f","c","b","p","t","b","s","s","p","w","p","w","o","p","n","y","e"
"3539","f","y","e","t","n","f","c","b","w","t","b","s","s","w","w","p","w","o","p","n","v","e"
"3541","x","y","n","t","n","f","c","b","w","t","b","s","s","g","p","p","w","o","p","n","y","e"
"3543","f","f","e","t","n","f","c","b","n","t","b","s","s","p","g","p","w","o","p","k","v","e"
"3544","x","s","p","f","c","f","c","n","n","e","b","s","s","w","w","p","w","o","p","n","s","p"
"3545","x","f","g","f","f","f","c","b","h","e","b","k","k","p","p","p","w","o","l","h","v","p"
"3546","f","y","e","t","n","f","c","b","p","t","b","s","s","p","w","p","w","o","p","k","v","e"
"3547","f","y","g","t","n","f","c","b","p","t","b","s","s","g","w","p","w","o","p","k","v","e"
"3548","x","s","p","f","c","f","c","n","p","e","b","s","s","w","w","p","w","o","p","n","v","p"
"3549","f","f","g","t","n","f","c","b","u","t","b","s","s","w","g","p","w","o","p","n","y","e"
"3550","f","f","e","t","n","f","c","b","n","t","b","s","s","w","w","p","w","o","p","k","y","e"
"3551","f","f","n","t","n","f","c","b","u","t","b","s","s","g","w","p","w","o","p","k","v","e"
"3552","x","y","g","t","n","f","c","b","n","t","b","s","s","w","w","p","w","o","p","n","v","e"
"3553","x","y","n","t","n","f","c","b","w","t","b","s","s","w","p","p","w","o","p","n","y","e"
"3554","f","y","n","t","n","f","c","b","u","t","b","s","s","g","p","p","w","o","p","n","y","e"
"3555","x","f","p","f","c","f","c","n","p","e","b","s","s","w","w","p","w","o","p","k","v","p"
"3556","f","f","e","t","n","f","c","b","p","t","b","s","s","w","p","p","w","o","p","k","v","e"
"3558","x","s","g","f","c","f","w","n","p","e","b","s","s","w","w","p","w","o","p","n","v","p"
"3559","f","y","n","t","n","f","c","b","w","t","b","s","s","w","w","p","w","o","p","k","v","e"
"3560","f","f","g","f","f","f","c","b","p","e","b","k","k","n","n","p","w","o","l","h","v","p"
"3562","f","y","g","t","n","f","c","b","p","t","b","s","s","p","g","p","w","o","p","k","y","e"
"3563","f","y","g","t","n","f","c","b","u","t","b","s","s","g","g","p","w","o","p","k","v","e"
"3564","f","y","g","t","n","f","c","b","w","t","b","s","s","g","p","p","w","o","p","n","v","e"
"3566","x","f","y","f","f","f","c","b","p","e","b","k","k","b","n","p","w","o","l","h","v","p"
"3567","f","f","g","t","n","f","c","b","u","t","b","s","s","g","w","p","w","o","p","n","y","e"
"3568","x","f","g","f","f","f","c","b","p","e","b","k","k","b","p","p","w","o","l","h","v","p"
"3569","f","y","e","t","n","f","c","b","u","t","b","s","s","g","w","p","w","o","p","n","v","e"
"3570","f","f","e","t","n","f","c","b","w","t","b","s","s","p","g","p","w","o","p","n","y","e"
"3571","f","f","g","f","f","f","c","b","p","e","b","k","k","n","p","p","w","o","l","h","y","p"
"3573","x","f","y","f","f","f","c","b","g","e","b","k","k","p","n","p","w","o","l","h","y","p"
"3575","f","f","g","t","n","f","c","b","u","t","b","s","s","w","w","p","w","o","p","n","v","e"
"3576","f","f","e","t","n","f","c","b","p","t","b","s","s","g","g","p","w","o","p","k","v","e"
"3577","f","y","e","t","n","f","c","b","n","t","b","s","s","w","w","p","w","o","p","n","v","e"
"3580","f","f","g","t","n","f","c","b","w","t","b","s","s","g","g","p","w","o","p","n","v","e"
"3582","x","f","g","f","f","f","c","b","g","e","b","k","k","b","b","p","w","o","l","h","v","p"
"3583","f","y","n","t","n","f","c","b","u","t","b","s","s","w","g","p","w","o","p","k","y","e"
"3584","x","f","g","f","c","f","c","n","n","e","b","s","s","w","w","p","w","o","p","k","v","p"
"3586","f","y","g","t","n","f","c","b","w","t","b","s","s","w","g","p","w","o","p","k","v","e"
"3587","x","f","e","t","n","f","c","b","p","t","b","s","s","p","g","p","w","o","p","k","y","e"
"3589","f","f","g","t","n","f","c","b","p","t","b","s","s","p","p","p","w","o","p","n","v","e"
"3590","x","y","g","t","n","f","c","b","p","t","b","s","s","g","g","p","w","o","p","n","v","e"
"3592","x","y","n","t","n","f","c","b","n","t","b","s","s","p","p","p","w","o","p","n","y","e"
"3593","f","y","n","t","n","f","c","b","n","t","b","s","s","w","g","p","w","o","p","k","v","e"
"3596","f","y","g","t","n","f","c","b","w","t","b","s","s","p","p","p","w","o","p","n","v","e"
"3597","f","y","e","t","n","f","c","b","n","t","b","s","s","g","g","p","w","o","p","k","y","e"
"3598","x","f","g","f","f","f","c","b","g","e","b","k","k","p","b","p","w","o","l","h","y","p"
"3599","f","y","n","t","n","f","c","b","n","t","b","s","s","p","g","p","w","o","p","k","y","e"
"3600","x","f","g","f","f","f","c","b","h","e","b","k","k","p","b","p","w","o","l","h","v","p"
"3601","f","f","e","t","n","f","c","b","w","t","b","s","s","w","p","p","w","o","p","k","y","e"
"3602","x","y","n","t","n","f","c","b","w","t","b","s","s","g","w","p","w","o","p","k","y","e"
"3603","x","y","g","t","n","f","c","b","p","t","b","s","s","p","w","p","w","o","p","k","y","e"
"3606","x","s","g","f","c","f","c","n","g","e","b","s","s","w","w","p","w","o","p","k","v","p"
"3607","x","f","g","f","f","f","c","b","p","e","b","k","k","b","n","p","w","o","l","h","v","p"
"3611","x","f","g","f","f","f","c","b","g","e","b","k","k","b","n","p","w","o","l","h","v","p"
"3612","f","y","e","t","n","f","c","b","p","t","b","s","s","w","p","p","w","o","p","k","v","e"
"3613","f","y","n","t","n","f","c","b","w","t","b","s","s","p","g","p","w","o","p","n","v","e"
"3616","f","y","g","t","n","f","c","b","n","t","b","s","s","w","w","p","w","o","p","k","y","e"
"3617","x","f","p","f","c","f","w","n","u","e","b","s","s","w","w","p","w","o","p","n","s","p"
"3618","f","f","e","t","n","f","c","b","w","t","b","s","s","w","w","p","w","o","p","n","y","e"
"3619","f","y","n","t","n","f","c","b","n","t","b","s","s","g","p","p","w","o","p","k","y","e"
"3621","f","f","e","t","n","f","c","b","p","t","b","s","s","w","w","p","w","o","p","n","y","e"
"3622","x","f","g","f","f","f","c","b","h","e","b","k","k","p","n","p","w","o","l","h","y","p"
"3623","x","f","g","f","f","f","c","b","h","e","b","k","k","p","n","p","w","o","l","h","v","p"
"3624","f","f","g","t","n","f","c","b","n","t","b","s","s","p","g","p","w","o","p","k","v","e"
"3626","x","f","g","f","f","f","c","b","p","e","b","k","k","p","p","p","w","o","l","h","v","p"
"3627","f","f","g","t","n","f","c","b","w","t","b","s","s","p","g","p","w","o","p","n","y","e"
"3628","x","f","p","f","c","f","c","n","g","e","b","s","s","w","w","p","w","o","p","n","s","p"
"3631","x","f","g","f","f","f","c","b","g","e","b","k","k","n","n","p","w","o","l","h","y","p"
"3632","x","f","e","t","n","f","c","b","w","t","b","s","s","g","g","p","w","o","p","k","y","e"
"3633","x","s","g","f","c","f","w","n","u","e","b","s","s","w","w","p","w","o","p","k","s","p"
"3634","x","f","g","f","f","f","c","b","h","e","b","k","k","b","p","p","w","o","l","h","v","p"
"3635","f","y","n","t","n","f","c","b","n","t","b","s","s","w","p","p","w","o","p","n","v","e"
"3636","x","f","g","f","f","f","c","b","g","e","b","k","k","n","b","p","w","o","l","h","v","p"
"3637","f","y","e","t","n","f","c","b","p","t","b","s","s","p","g","p","w","o","p","k","v","e"
"3638","f","f","g","t","n","f","c","b","u","t","b","s","s","p","w","p","w","o","p","n","y","e"
"3639","f","f","g","t","n","f","c","b","w","t","b","s","s","g","p","p","w","o","p","n","y","e"
"3640","f","y","n","t","n","f","c","b","w","t","b","s","s","w","p","p","w","o","p","n","y","e"
"3641","f","y","e","t","n","f","c","b","u","t","b","s","s","w","p","p","w","o","p","n","y","e"
"3642","f","y","g","t","n","f","c","b","p","t","b","s","s","g","g","p","w","o","p","k","y","e"
"3643","f","y","e","t","n","f","c","b","u","t","b","s","s","w","g","p","w","o","p","k","y","e"
"3645","x","y","y","f","f","f","c","b","p","e","b","k","k","p","n","p","w","o","l","h","y","p"
"3646","f","f","g","t","n","f","c","b","u","t","b","s","s","p","p","p","w","o","p","k","y","e"
"3647","f","y","n","t","n","f","c","b","u","t","b","s","s","g","w","p","w","o","p","n","v","e"
"3649","x","f","g","f","f","f","c","b","p","e","b","k","k","p","b","p","w","o","l","h","v","p"
"3650","x","f","g","f","f","f","c","b","p","e","b","k","k","b","n","p","w","o","l","h","y","p"
"3651","f","y","e","t","n","f","c","b","u","t","b","s","s","g","p","p","w","o","p","n","y","e"
"3652","f","y","n","t","n","f","c","b","p","t","b","s","s","w","p","p","w","o","p","k","v","e"
"3653","x","y","g","f","f","f","c","b","p","e","b","k","k","n","n","p","w","o","l","h","y","p"
"3655","f","y","g","f","f","f","c","b","p","e","b","k","k","b","b","p","w","o","l","h","v","p"
"3656","f","y","n","t","n","f","c","b","w","t","b","s","s","p","w","p","w","o","p","n","v","e"
"3659","f","f","y","f","f","f","c","b","h","e","b","k","k","n","b","p","w","o","l","h","y","p"
"3660","f","y","n","t","n","f","c","b","u","t","b","s","s","g","p","p","w","o","p","n","v","e"
"3661","x","y","e","t","n","f","c","b","u","t","b","s","s","w","p","p","w","o","p","k","y","e"
"3662","x","f","g","f","f","f","c","b","h","e","b","k","k","b","b","p","w","o","l","h","y","p"
"3666","f","f","e","t","n","f","c","b","p","t","b","s","s","p","p","p","w","o","p","n","v","e"
"3667","f","y","g","t","n","f","c","b","p","t","b","s","s","p","p","p","w","o","p","n","y","e"
"3668","x","f","g","f","f","f","c","b","g","e","b","k","k","p","b","p","w","o","l","h","v","p"
"3669","f","y","e","t","n","f","c","b","u","t","b","s","s","w","w","p","w","o","p","n","v","e"
"3670","f","y","e","t","n","f","c","b","p","t","b","s","s","w","g","p","w","o","p","n","y","e"
"3671","x","s","p","f","c","f","c","n","g","e","b","s","s","w","w","p","w","o","p","k","s","p"
"3673","f","f","g","t","n","f","c","b","u","t","b","s","s","g","p","p","w","o","p","k","y","e"
"3674","f","f","g","t","n","f","c","b","w","t","b","s","s","w","w","p","w","o","p","n","y","e"
"3675","f","f","g","t","n","f","c","b","u","t","b","s","s","g","p","p","w","o","p","n","v","e"
"3676","x","f","g","f","f","f","c","b","h","e","b","k","k","b","b","p","w","o","l","h","v","p"
"3677","f","y","n","t","n","f","c","b","p","t","b","s","s","p","g","p","w","o","p","n","y","e"
"3678","f","y","g","t","n","f","c","b","n","t","b","s","s","w","g","p","w","o","p","k","v","e"
"3679","f","y","n","t","n","f","c","b","u","t","b","s","s","p","p","p","w","o","p","k","y","e"
"3680","x","s","p","f","c","f","c","n","n","e","b","s","s","w","w","p","w","o","p","k","s","p"
"3681","f","y","e","t","n","f","c","b","n","t","b","s","s","p","p","p","w","o","p","k","y","e"
"3682","f","y","g","t","n","f","c","b","p","t","b","s","s","g","p","p","w","o","p","k","v","e"
"3683","f","y","e","t","n","f","c","b","n","t","b","s","s","w","p","p","w","o","p","k","y","e"
"3684","x","s","w","f","c","f","c","n","u","e","b","s","s","w","w","p","w","o","p","k","s","p"
"3687","x","f","g","f","f","f","c","b","g","e","b","k","k","p","p","p","w","o","l","h","v","p"
"3689","f","y","n","t","n","f","c","b","w","t","b","s","s","g","g","p","w","o","p","k","y","e"
"3690","f","y","g","t","n","f","c","b","p","t","b","s","s","w","w","p","w","o","p","n","v","e"
"3691","f","y","g","t","n","f","c","b","n","t","b","s","s","w","w","p","w","o","p","n","v","e"
"3692","f","y","g","t","n","f","c","b","w","t","b","s","s","w","p","p","w","o","p","n","v","e"
"3693","x","f","w","f","c","f","w","n","p","e","b","s","s","w","w","p","w","o","p","n","v","p"
"3694","f","f","e","t","n","f","c","b","u","t","b","s","s","w","w","p","w","o","p","n","v","e"
"3695","x","f","g","f","f","f","c","b","g","e","b","k","k","p","b","p","w","o","l","h","v","p"
"3696","f","y","n","t","n","f","c","b","w","t","b","s","s","g","w","p","w","o","p","n","y","e"
"3700","x","s","p","f","c","f","c","n","g","e","b","s","s","w","w","p","w","o","p","n","v","p"
"3704","x","f","p","f","c","f","c","n","p","e","b","s","s","w","w","p","w","o","p","n","s","p"
"3705","x","f","g","f","f","f","c","b","p","e","b","k","k","p","n","p","w","o","l","h","v","p"
"3706","f","f","e","t","n","f","c","b","u","t","b","s","s","w","g","p","w","o","p","n","y","e"
"3707","f","f","e","t","n","f","c","b","w","t","b","s","s","g","w","p","w","o","p","k","y","e"
"3708","x","f","g","f","c","f","c","n","u","e","b","s","s","w","w","p","w","o","p","n","s","p"
"3709","x","f","g","f","f","f","c","b","p","e","b","k","k","n","n","p","w","o","l","h","v","p"
"3710","f","y","g","t","n","f","c","b","n","t","b","s","s","w","w","p","w","o","p","n","y","e"
"3712","f","f","e","t","n","f","c","b","w","t","b","s","s","p","p","p","w","o","p","k","v","e"
"3713","f","y","n","t","n","f","c","b","u","t","b","s","s","w","p","p","w","o","p","k","v","e"
"3714","f","y","y","f","f","f","c","b","h","e","b","k","k","b","n","p","w","o","l","h","y","p"
"3715","f","y","e","t","n","f","c","b","n","t","b","s","s","w","w","p","w","o","p","k","y","e"
"3716","f","y","e","t","n","f","c","b","p","t","b","s","s","w","w","p","w","o","p","k","v","e"
"3717","f","y","n","t","n","f","c","b","w","t","b","s","s","g","g","p","w","o","p","n","y","e"
"3718","x","f","n","t","n","f","c","b","w","t","b","s","s","g","p","p","w","o","p","k","v","e"
"3719","f","y","g","f","f","f","c","b","g","e","b","k","k","p","b","p","w","o","l","h","v","p"
"3720","f","y","g","t","n","f","c","b","u","t","b","s","s","g","w","p","w","o","p","n","v","e"
"3721","f","f","e","t","n","f","c","b","w","t","b","s","s","p","w","p","w","o","p","k","y","e"
"3722","f","y","n","t","n","f","c","b","p","t","b","s","s","p","p","p","w","o","p","n","v","e"
"3724","x","y","n","t","n","f","c","b","w","t","b","s","s","g","w","p","w","o","p","k","v","e"
"3725","x","f","g","f","f","f","c","b","p","e","b","k","k","b","b","p","w","o","l","h","v","p"
"3726","x","s","w","f","c","f","w","n","g","e","b","s","s","w","w","p","w","o","p","n","v","p"
"3727","f","f","y","f","f","f","c","b","g","e","b","k","k","n","b","p","w","o","l","h","v","p"
"3728","f","y","n","t","n","f","c","b","u","t","b","s","s","p","g","p","w","o","p","n","v","e"
"3729","f","y","e","t","n","f","c","b","p","t","b","s","s","p","g","p","w","o","p","k","y","e"
"3731","f","f","e","t","n","f","c","b","w","t","b","s","s","p","p","p","w","o","p","n","y","e"
"3733","f","y","n","t","n","f","c","b","n","t","b","s","s","g","g","p","w","o","p","k","y","e"
"3734","f","y","e","t","n","f","c","b","n","t","b","s","s","w","g","p","w","o","p","k","v","e"
"3735","x","y","g","f","f","f","c","b","h","e","b","k","k","n","n","p","w","o","l","h","y","p"
"3737","f","y","n","t","n","f","c","b","p","t","b","s","s","w","w","p","w","o","p","n","y","e"
"3738","x","f","g","f","f","f","c","b","p","e","b","k","k","p","n","p","w","o","l","h","v","p"
"3740","x","f","g","f","c","f","w","n","p","e","b","s","s","w","w","p","w","o","p","k","v","p"
"3741","x","y","n","t","n","f","c","b","u","t","b","s","s","w","g","p","w","o","p","n","y","e"
"3742","f","f","y","f","f","f","c","b","h","e","b","k","k","p","p","p","w","o","l","h","v","p"
"3743","x","s","g","f","c","f","w","n","n","e","b","s","s","w","w","p","w","o","p","n","v","p"
"3745","f","y","e","t","n","f","c","b","u","t","b","s","s","w","w","p","w","o","p","n","y","e"
"3746","f","f","e","t","n","f","c","b","p","t","b","s","s","g","p","p","w","o","p","k","v","e"
"3747","x","f","y","f","f","f","c","b","p","e","b","k","k","b","n","p","w","o","l","h","v","p"
"3748","f","y","n","t","n","f","c","b","u","t","b","s","s","g","g","p","w","o","p","n","v","e"
"3749","f","f","e","t","n","f","c","b","w","t","b","s","s","w","w","p","w","o","p","n","v","e"
"3751","x","f","y","f","f","f","c","b","p","e","b","k","k","p","p","p","w","o","l","h","v","p"
"3752","x","f","g","f","c","f","c","n","n","e","b","s","s","w","w","p","w","o","p","n","v","p"
"3753","f","f","e","t","n","f","c","b","u","t","b","s","s","w","p","p","w","o","p","k","v","e"
"3754","x","s","g","f","c","f","c","n","g","e","b","s","s","w","w","p","w","o","p","n","s","p"
"3755","x","f","w","f","c","f","c","n","u","e","b","s","s","w","w","p","w","o","p","n","v","p"
"3756","x","f","g","f","f","f","c","b","h","e","b","k","k","p","b","p","w","o","l","h","y","p"
"3757","f","y","g","t","n","f","c","b","n","t","b","s","s","w","p","p","w","o","p","n","v","e"
"3758","f","f","e","t","n","f","c","b","n","t","b","s","s","g","g","p","w","o","p","k","v","e"
"3760","f","f","e","t","n","f","c","b","u","t","b","s","s","g","w","p","w","o","p","k","y","e"
"3761","f","y","e","t","n","f","c","b","w","t","b","s","s","w","p","p","w","o","p","n","v","e"
"3762","f","f","g","t","n","f","c","b","u","t","b","s","s","p","w","p","w","o","p","n","v","e"
"3763","f","y","e","t","n","f","c","b","n","t","b","s","s","g","w","p","w","o","p","n","y","e"
"3768","f","f","e","t","n","f","c","b","n","t","b","s","s","p","p","p","w","o","p","n","y","e"
"3769","f","y","e","t","n","f","c","b","w","t","b","s","s","w","p","p","w","o","p","n","y","e"
"3771","x","f","g","t","n","f","c","b","p","t","b","s","s","p","w","p","w","o","p","n","y","e"
"3772","f","y","n","t","n","f","c","b","p","t","b","s","s","w","p","p","w","o","p","n","y","e"
"3773","f","y","n","t","n","f","c","b","p","t","b","s","s","g","p","p","w","o","p","n","v","e"
"3774","x","f","e","t","n","f","c","b","n","t","b","s","s","g","w","p","w","o","p","k","y","e"
"3775","f","f","n","t","n","f","c","b","p","t","b","s","s","w","p","p","w","o","p","k","y","e"
"3776","x","f","g","f","f","f","c","b","h","e","b","k","k","n","n","p","w","o","l","h","y","p"
"3777","f","y","e","t","n","f","c","b","p","t","b","s","s","w","p","p","w","o","p","n","y","e"
"3778","x","y","g","t","n","f","c","b","n","t","b","s","s","w","g","p","w","o","p","k","y","e"
"3779","f","y","n","t","n","f","c","b","w","t","b","s","s","p","p","p","w","o","p","n","v","e"
"3780","f","y","n","t","n","f","c","b","w","t","b","s","s","g","p","p","w","o","p","k","y","e"
"3782","x","f","g","f","f","f","c","b","h","e","b","k","k","p","n","p","w","o","l","h","v","p"
"3783","f","f","e","t","n","f","c","b","w","t","b","s","s","p","w","p","w","o","p","n","v","e"
"3785","f","y","g","t","n","f","c","b","u","t","b","s","s","p","p","p","w","o","p","n","y","e"
"3786","f","y","g","t","n","f","c","b","n","t","b","s","s","g","g","p","w","o","p","n","v","e"
"3787","f","f","g","t","n","f","c","b","u","t","b","s","s","p","w","p","w","o","p","k","y","e"
"3788","f","f","y","f","f","f","c","b","h","e","b","k","k","p","b","p","w","o","l","h","v","p"
"3789","x","y","n","t","n","f","c","b","n","t","b","s","s","g","w","p","w","o","p","n","v","e"
"3791","f","f","g","f","f","f","c","b","h","e","b","k","k","b","n","p","w","o","l","h","v","p"
"3792","f","y","n","t","n","f","c","b","w","t","b","s","s","g","w","p","w","o","p","k","v","e"
"3794","f","y","e","t","n","f","c","b","w","t","b","s","s","p","w","p","w","o","p","n","y","e"
"3795","x","s","w","f","c","f","w","n","g","e","b","s","s","w","w","p","w","o","p","k","s","p"
"3796","f","y","n","t","n","f","c","b","n","t","b","s","s","w","p","p","w","o","p","k","v","e"
"3798","f","y","e","t","n","f","c","b","p","t","b","s","s","p","p","p","w","o","p","n","y","e"
"3799","f","f","g","t","n","f","c","b","u","t","b","s","s","w","g","p","w","o","p","n","v","e"
"3800","f","f","e","t","n","f","c","b","p","t","b","s","s","p","w","p","w","o","p","k","y","e"
"3801","f","y","e","t","n","f","c","b","w","t","b","s","s","g","w","p","w","o","p","n","y","e"
"3802","x","s","g","f","c","f","c","n","p","e","b","s","s","w","w","p","w","o","p","k","s","p"
"3804","f","y","e","t","n","f","c","b","n","t","b","s","s","g","g","p","w","o","p","k","v","e"
"3805","x","f","p","f","c","f","w","n","n","e","b","s","s","w","w","p","w","o","p","k","v","p"
"3806","f","f","e","t","n","f","c","b","u","t","b","s","s","p","p","p","w","o","p","k","y","e"
"3807","x","s","p","f","c","f","c","n","u","e","b","s","s","w","w","p","w","o","p","n","v","p"
"3808","f","f","e","t","n","f","c","b","w","t","b","s","s","p","g","p","w","o","p","k","y","e"
"3809","f","f","g","f","f","f","c","b","g","e","b","k","k","b","p","p","w","o","l","h","y","p"
"3810","f","y","g","t","n","f","c","b","p","t","b","s","s","g","p","p","w","o","p","n","y","e"
"3811","x","f","g","f","f","f","c","b","h","e","b","k","k","n","p","p","w","o","l","h","y","p"
"3812","f","y","n","t","n","f","c","b","n","t","b","s","s","p","p","p","w","o","p","k","v","e"
"3813","f","y","e","t","n","f","c","b","u","t","b","s","s","p","p","p","w","o","p","n","v","e"
"3814","f","y","n","t","n","f","c","b","u","t","b","s","s","p","p","p","w","o","p","k","v","e"
"3815","x","s","p","f","c","f","w","n","g","e","b","s","s","w","w","p","w","o","p","k","s","p"
"3816","x","y","g","f","f","f","c","b","h","e","b","k","k","n","p","p","w","o","l","h","y","p"
"3817","f","f","e","t","n","f","c","b","p","t","b","s","s","g","p","p","w","o","p","n","v","e"
"3818","f","f","g","t","n","f","c","b","w","t","b","s","s","w","w","p","w","o","p","k","v","e"
"3819","f","y","g","t","n","f","c","b","n","t","b","s","s","w","w","p","w","o","p","k","v","e"
"3820","f","y","e","t","n","f","c","b","p","t","b","s","s","g","w","p","w","o","p","n","y","e"
"3821","f","y","e","t","n","f","c","b","u","t","b","s","s","w","w","p","w","o","p","k","v","e"
"3826","f","f","e","t","n","f","c","b","n","t","b","s","s","p","w","p","w","o","p","k","y","e"
"3827","x","f","w","f","c","f","c","n","n","e","b","s","s","w","w","p","w","o","p","k","v","p"
"3828","f","y","e","t","n","f","c","b","p","t","b","s","s","g","p","p","w","o","p","k","y","e"
"3829","f","y","g","t","n","f","c","b","p","t","b","s","s","w","w","p","w","o","p","n","y","e"
"3831","f","y","g","t","n","f","c","b","n","t","b","s","s","p","w","p","w","o","p","n","y","e"
"3832","x","s","w","f","c","f","w","n","n","e","b","s","s","w","w","p","w","o","p","k","v","p"
"3833","f","f","e","t","n","f","c","b","n","t","b","s","s","p","p","p","w","o","p","k","v","e"
"3836","x","f","g","f","f","f","c","b","h","e","b","k","k","b","p","p","w","o","l","h","y","p"
"3837","f","y","g","t","n","f","c","b","u","t","b","s","s","g","g","p","w","o","p","n","v","e"
"3839","f","y","e","t","n","f","c","b","p","t","b","s","s","p","w","p","w","o","p","n","y","e"
"3840","f","y","e","t","n","f","c","b","p","t","b","s","s","w","g","p","w","o","p","k","y","e"
"3842","f","f","e","t","n","f","c","b","u","t","b","s","s","p","w","p","w","o","p","n","y","e"
"3843","f","f","e","t","n","f","c","b","n","t","b","s","s","g","p","p","w","o","p","k","y","e"
"3844","x","y","g","f","f","f","c","b","g","e","b","k","k","n","n","p","w","o","l","h","v","p"
"3847","f","y","g","t","n","f","c","b","u","t","b","s","s","g","w","p","w","o","p","k","y","e"
"3848","f","y","e","t","n","f","c","b","w","t","b","s","s","g","g","p","w","o","p","n","y","e"
"3849","f","y","e","t","n","f","c","b","n","t","b","s","s","p","w","p","w","o","p","n","y","e"
"3850","f","y","g","t","n","f","c","b","w","t","b","s","s","w","p","p","w","o","p","k","y","e"
"3851","x","f","e","t","n","f","c","b","n","t","b","s","s","w","w","p","w","o","p","n","y","e"
"3852","f","y","g","t","n","f","c","b","u","t","b","s","s","p","w","p","w","o","p","k","y","e"
"3853","x","s","p","f","c","f","c","n","p","e","b","s","s","w","w","p","w","o","p","k","s","p"
"3854","f","y","n","t","n","f","c","b","u","t","b","s","s","w","p","p","w","o","p","n","v","e"
"3856","f","y","e","t","n","f","c","b","n","t","b","s","s","w","p","p","w","o","p","k","v","e"
"3857","f","y","g","t","n","f","c","b","w","t","b","s","s","g","w","p","w","o","p","n","v","e"
"3858","f","f","e","t","n","f","c","b","n","t","b","s","s","p","g","p","w","o","p","n","v","e"
"3860","x","f","w","f","c","f","w","n","n","e","b","s","s","w","w","p","w","o","p","n","v","p"
"3861","x","y","n","t","n","f","c","b","n","t","b","s","s","w","w","p","w","o","p","n","v","e"
"3863","f","y","e","t","n","f","c","b","w","t","b","s","s","g","p","p","w","o","p","k","v","e"
"3864","x","y","g","t","n","f","c","b","u","t","b","s","s","g","p","p","w","o","p","n","y","e"
"3865","x","f","g","f","f","f","c","b","p","e","b","k","k","n","p","p","w","o","l","h","v","p"
"3866","x","f","w","f","c","f","w","n","n","e","b","s","s","w","w","p","w","o","p","k","v","p"
"3867","f","y","n","t","n","f","c","b","w","t","b","s","s","w","w","p","w","o","p","k","y","e"
"3868","f","f","e","t","n","f","c","b","w","t","b","s","s","g","g","p","w","o","p","k","v","e"
"3869","x","f","w","f","c","f","w","n","u","e","b","s","s","w","w","p","w","o","p","k","v","p"
"3870","x","s","g","f","c","f","w","n","p","e","b","s","s","w","w","p","w","o","p","k","s","p"
"3871","x","y","e","t","n","f","c","b","p","t","b","s","s","p","p","p","w","o","p","k","v","e"
"3873","x","f","g","f","c","f","c","n","p","e","b","s","s","w","w","p","w","o","p","n","v","p"
"3874","x","f","g","f","f","f","c","b","h","e","b","k","k","n","p","p","w","o","l","h","v","p"
"3875","x","s","g","f","c","f","c","n","n","e","b","s","s","w","w","p","w","o","p","n","v","p"
"3877","x","f","p","f","c","f","c","n","u","e","b","s","s","w","w","p","w","o","p","k","s","p"
"3879","x","s","p","f","c","f","c","n","n","e","b","s","s","w","w","p","w","o","p","k","v","p"
"3880","x","f","g","f","c","f","w","n","p","e","b","s","s","w","w","p","w","o","p","k","s","p"
"3883","x","s","g","f","c","f","w","n","n","e","b","s","s","w","w","p","w","o","p","k","v","p"
"3884","f","y","g","t","n","f","c","b","u","t","b","s","s","w","g","p","w","o","p","n","y","e"
"3885","f","y","n","t","n","f","c","b","u","t","b","s","s","g","w","p","w","o","p","n","y","e"
"3886","x","f","g","f","c","f","w","n","g","e","b","s","s","w","w","p","w","o","p","n","s","p"
"3887","f","f","e","t","n","f","c","b","p","t","b","s","s","w","g","p","w","o","p","k","v","e"
"3889","f","y","n","t","n","f","c","b","w","t","b","s","s","g","g","p","w","o","p","k","v","e"
"3891","f","y","g","f","f","f","c","b","g","e","b","k","k","b","b","p","w","o","l","h","y","p"
"3892","f","y","g","t","n","f","c","b","n","t","b","s","s","p","g","p","w","o","p","k","v","e"
"3893","x","f","g","f","f","f","c","b","g","e","b","k","k","n","b","p","w","o","l","h","v","p"
"3894","f","y","g","t","n","f","c","b","p","t","b","s","s","g","w","p","w","o","p","n","v","e"
"3895","x","f","g","f","f","f","c","b","g","e","b","k","k","n","n","p","w","o","l","h","y","p"
"3896","f","f","g","f","f","f","c","b","p","e","b","k","k","n","p","p","w","o","l","h","y","p"
"3898","f","f","g","t","n","f","c","b","w","t","b","s","s","g","g","p","w","o","p","k","v","e"
"3899","x","f","w","f","c","f","c","n","p","e","b","s","s","w","w","p","w","o","p","n","v","p"
